BP882,Tottenham Court Road Station,2,Monday,17,42
308,Graham Road / Hackney Central,1,Monday,17,43
782,Stannard Road,1,Monday,17,45
8019,Stratford Centre,2,Monday,17,45
371,Old Town Hall,2,Monday,17,47
BP2778,Brampton Park Road,1,Monday,17,48
308,Graham Road / Hackney Central,1,Monday,17,49
35030,Tottenham Court Road Station,2,Monday,17,48
BP3504,Trafalgar Square / Charing Cross Stn,2,Monday,17,49
BP5294,New Oxford Street / High Holborn,2,Monday,17,51
1011,Clapton Pond,1,Monday,17,50
308,Graham Road / Hackney Central,1,Monday,17,55
BP5484,Royal Oak Road,1,Monday,17,57
